Source Query,Job Title,Task,Deliverable,Budget,Buyer Spend,Hires,Proposals,Required Expertise,Geography,Deadline,Repeated Pattern,Source URL,Posted Window
"market research","Research and Compile List of Pet Grooming and Veterinary Clinic Owners","Build verified owner list","Contact list of owners in Portland OR","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Intermediate","Portland, OR","Unknown","Local owner/contact list","https://www.upwork.com/freelance-jobs/apply/Test-Center-Mystery-Shop-Audits-Across-States_~021931412319963672654/","1 day ago"
"market research","Research topic: regulation vs de-regulation","Research regulation vs deregulation topic","Research summary/report","Fixed $150","Unknown","Unknown","Unknown","Expert","Unknown","Unknown","Policy/desk research","https://www.upwork.com/freelance-jobs/apply/Test-Center-Mystery-Shop-Audits-Across-States_~021931412319963672654/","1 day ago"
"market research","Research Verified Dealership Contacts in Miami FL","Compile dealership owner/sales director contacts","Verified dealership contact list","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Intermediate","Miami, FL","Unknown","Local B2B contact research","https://www.upwork.com/freelance-jobs/apply/Test-Center-Mystery-Shop-Audits-Across-States_~021931412319963672654/","1 day ago"
"market research","Influencer Sourcing Specialist","Research USA/LatAm influencers","Influencer list in Excel","Fixed $100","Unknown","Unknown","Unknown","Intermediate","USA and Latin America","Unknown","Influencer list building","https://www.upwork.com/freelance-jobs/apply/Test-Center-Mystery-Shop-Audits-Across-States_~021931412319963672654/","1 day ago"
"market research","Market Research Analyst for Freelancing Platforms","Study freelancing platform industry","Market research study/report","Fixed $30","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Platform/competitor research","https://www.upwork.com/freelance-jobs/apply/Test-Center-Mystery-Shop-Audits-Across-States_~021931412319963672654/","1 day ago"
"market research","Primary Market Research for Real Estate Project","Design surveys and analyze client preferences","Survey analysis for real estate project","Fixed $50","$480 total spent","5 hires, 0 active","5 to 10","Intermediate","Worldwide / client GBR","Ongoing project","Primary survey research","https://www.upwork.com/freelance-jobs/apply/Primary-Market-Research-for-Real-Estate-Project_~021960942318345201575/","yesterday"
"market research","Contact List Research for Purchasing Managers","Compile purchasing manager contact list","Contact list across hotel/restaurant/leisure sectors","Fixed $100","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Purchasing-manager lead list","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","1 day ago"
"market research","Product Research Specialist for Amazon Europe","Research Amazon EU products","Product research findings","Hourly, 30+ hrs/week","Unknown","Unknown","Unknown","Expert","Amazon EU marketplaces","Unknown","Amazon product research","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","23 hours ago"
"market research","Amazon Product Research and Trading Opportunity Analysis","Identify products needed on Amazon and trading opportunities","Opportunity analysis","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Amazon product opportunity research","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","23 hours ago"
"market research","AI Tools Researcher & Quality Assurance Specialist $200/mth","Research and QA AI comparison platform content","AI tools data/QA output","Fixed $200/month","Unknown","Unknown","Unknown","Intermediate","Unknown","Monthly","AI tools directory research","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","22 hours ago"
"market research","Seeking Engineering Design Software Decision-Makers for Paid Market Research Study ($20)","Recruit/respondent research study","Completed paid research responses","Fixed $20","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","B2B respondent recruitment","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","22 hours ago"
"market research","Data Entry and Online Research Specialist Needed","Compile and enter online research data","Structured dataset/spreadsheet","Hourly, 30+ hrs/week","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","General web research + data entry","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","1 day ago"
"market research","Market Research US Only 168907","US-only market research task","Research participation/data","Fixed $25","Unknown","Unknown","Unknown","Entry","US only","Unknown","Location-limited research task","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","23 hours ago"
"market research","Contact Research for Companies in Saudi Arabia","Gather verified company contact info","Verified contact list","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Intermediate","Saudi Arabia","Unknown","Country-specific contact research","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","23 hours ago"
"market research","Market Research Specialist for Innovative Food-Tech Product","Conduct in-depth food-tech market research","Market research report","Fixed $500","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Product/market opportunity research","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","22 hours ago"
"market research","Car Deal Finder - Must Find £1,000+ Profit Opportunities","Find UK used car flip deals","Deal list with profit opportunity","Fixed $25","Unknown","Unknown","Unknown","Expert","UK","Unknown","Arbitrage/deal research","https://www.upwork.com/freelance-jobs/apply/Product-Research-for-Ecommerce-Ongoing_~021927178377538294320/","22 hours ago"
"feasibility study","Need Professional Feasibility Study","Prepare comprehensive feasibility study","Feasibility study document","Fixed $200","Unknown","Unknown","Unknown","Expert","Unknown","Unknown","Feasibility study","https://www.upwork.com/freelance-jobs/apply/Transfer-Survey-Decipher_~021942257149182442675/","18 hours ago"
"competitor analysis","Mystery Shop Competitors (Pest Control Agencies)","Go through competitor funnels as a lead","Mystery shop findings / funnel notes","Hourly, 30+ hrs/week","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Competitor funnel/mystery shopping","https://www.upwork.com/freelance-jobs/apply/Transfer-Survey-Decipher_~021942257149182442675/","18 hours ago"
"competitor analysis","Benchmark Testing of US Cash-Advance Apps (Contract Work)","Benchmark cash-advance apps end-to-end","Testing recordings/benchmark notes","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Entry","US-based tester","Unknown","Competitor/app benchmark","https://www.upwork.com/freelance-jobs/grant-and-market-research/","20 days ago"
"market research","Collect 5-Minute Online Survey Respondents in BRAZIL","Find Brazil survey respondents","Completed survey responses","Fixed $200","Unknown","Unknown","Unknown","Entry","Brazil","3-5 minute survey","Survey respondent collection","https://www.upwork.com/freelance-jobs/grant-and-market-research/","23 days ago"
"market research","Collect 5-Minute Online Survey Respondents in SOUTH AFRICA","Find South Africa survey respondents","Completed survey responses","Fixed $100","Unknown","Unknown","Unknown","Entry","South Africa","3-5 minute survey","Survey respondent collection","https://www.upwork.com/freelance-jobs/grant-and-market-research/","23 days ago"
"business research","Business Plan Writing","Create investor-ready business plan","Business plan","Fixed $50","Unknown","Unknown","Unknown","Entry","Unknown","Unknown","Business plan with research","https://www.upwork.com/freelance-jobs/grant-and-market-research/","17 days ago"
"business research","Market Research Specialist for US Job Market Expansion","Analyze US job market for expansion","Market/job opportunity report","Fixed $200","Unknown","Unknown","Less than 5","Intermediate","Worldwide / US market","Ongoing project","Market expansion research","https://www.upwork.com/freelance-jobs/apply/Market-Research-Specialist-for-Job-Market-Expansion_~021997056873577843730/","3 weeks ago"
"competitor analysis","Social Media Pages Audit & Competitor Analysis Specialist Needed","Audit social pages and competitors","Structured report with recommendations","Fixed $100","$301 total spent","6 hires, 0 active","Less than 5","Intermediate","Worldwide / client Pakistan","One-time project","Competitor audit/report","https://www.upwork.com/freelance-jobs/apply/Social-Media-Pages-Audit-Competitor-Analysis-Specialist-Needed_~021994707445254001064/","4 weeks ago"
"competitor analysis","SEO Keyword Research and Competitor Analysis Expert Needed","Keyword research, backlink analysis, competitor analysis","SEO competitor report","Fixed $70","$1.4K total spent","26 hires, 1 active","15 to 20","Intermediate","Worldwide / client India","Ongoing project","SEO competitor research","https://www.upwork.com/freelance-jobs/apply/SEO-Keyword-Research-and-Competitor-Analysis-Expert-Needed_~021997252056401419665/","3 weeks ago"
"market research","Support a quantitative online market research project from start to end","Assist data checking, cleaning, mapping, charting, reporting","Charts/report generation support","Fixed $500","$471 total spent","7 hires, 4 active","20 to 50","Intermediate","Worldwide / client Singapore","2-month period","Quant research operations","https://www.upwork.com/freelance-jobs/apply/Support-quantitative-online-market-research-project-from-start-end_~021935231226462908768/","5 days ago"
"business research","Business Research Analyst - Find UK Company Data","Enrich UK company spreadsheet with PSC/contact data","Spreadsheet with PSC, email, LinkedIn, address, notes","Hourly $3-$7","$12K total spent","57 hires, 7 active","15 to 20","Intermediate","Worldwide / UK companies","<1 month","Company/contact enrichment","https://www.upwork.com/freelance-jobs/apply/Business-Research-Analyst-Find-Company-Data_~021980986330506380130/","last week"
"market research","Virtual Assistant Needed for Market Research & Data Entry","Conduct online research and record findings","Google Sheets/Docs updates","Hourly, competitive","$85K total spent","105 hires, 9 active","50+","Basic/optional experience","Worldwide","6-12+ months","Research VA / data entry","https://www.upwork.com/freelance-jobs/apply/Virtual-Assistant-Needed-for-Market-Research-Data-Entry_~021933407345060688464/","2 weeks ago"
"competitor analysis","Win/Loss Analysis Voice of Customer Surveys","Conduct customer/prospect interviews and surveys","Tagged responses and weekly summaries","Hourly $40-$75","$12K total spent","11 hires, 5 active","10 to 15","Expert","US located only","6+ months","Win/loss customer research","https://www.upwork.com/freelance-jobs/apply/Win-Loss-Analysis-Voice-Customer-Surveys_~021936877572574748332/","last week"
"lead generation","Lead Generation for B2B SaaS Companies in the U.S.","Generate verified B2B SaaS leads","Google Sheet with company/contact/email/phone/website","Hourly $9-$10.99","Unknown","1 hire, 1 active","10 to 15","Intermediate","Worldwide / US target","1-3 months","B2B lead list","https://www.upwork.com/freelance-jobs/apply/Lead-Generation-for-B2B-SaaS-Companies-the_~021960698143800381861/","2 days ago"
"lead generation","Lead Generation & Appointment Setting for Licensed Real Estate Candidates","Identify and secure 50+ qualified licensed candidates/day","Qualified candidate leads / appointments","Hourly $5-$6","$8.1K total spent","23 hires, 8 active","5 to 10","Intermediate","Worldwide / NY FL TX target","1-3 months","Recruiting lead generation","https://www.upwork.com/freelance-jobs/apply/Lead-Generation-Appointment-Setting-for-Licensed-Real-Estate-Candidates_~021957047497508489776/","yesterday"
"lead generation","Lead Generation for USA Doctors and Clinics","Build doctors/clinics lead list","Google Sheet with specialty,email,phone,address,website","Hourly $9-$10","Unknown","1 hire, 1 active","15 to 20","Intermediate","Worldwide / USA target","1-3 months","Healthcare lead list","https://www.upwork.com/freelance-jobs/apply/Lead-Generation-for-USA-Doctors-and-Clinics_~021960730260660129927/","2 days ago"
"lead generation","Lead Generation","Find email lists of coaches and businesses","Google Sheet email list for finance/business niches","Fixed $6","$45 total spent","4 hires, 0 active","10 to 15","Entry","Worldwide","Paid test, possible long-term","Niche email list building","https://www.upwork.com/freelance-jobs/apply/Lead-generation_~021982842697380930992/","4 hours ago"
"lead generation","Lead Generation","Research insurance agents or agency owners in Texas","Excel/Google Sheet with 500-1000 contacts","Fixed $30","$30 total spent","2 hires, 1 active","15 to 20","Intermediate","Worldwide / Texas target","Estimated delivery requested","Bulk local lead list","https://www.upwork.com/freelance-jobs/apply/Lead-Generation_~021979542682252686852/","last week"
"lead generation","Lead Generation Expert for an SEO Agency","Find and qualify SEO/IT/digital agency leads","Verified contacts with buyer signals","Hourly, 30+ hrs/week","$16K total spent","43 hires, 7 active","5 to 10","Expert","Worldwide","6+ months","Agency B2B lead generation","https://www.upwork.com/freelance-jobs/apply/Lead-Generation-Expert-for-SEO-Agency_~021957081194850105557/","yesterday"
"lead generation","Lead Generation Expert Needed - Tech Companies in the USA","Compile tech company leads across USA","Company/email/LinkedIn/decision maker details","Hourly, <30 hrs/week","$62 total spent","2 hires, 0 active","10 to 15","Experienced","Worldwide / USA target","<1 month","Tech company lead list","https://www.upwork.com/freelance-jobs/apply/Lead-Generation-Expert-Needed-Tech-Companies-the-USA_~021960791848838742381/","2 days ago"
"lead generation","B2B Lead Generation & Data Enrichment Specialist (Experience with Premium Contact Databases)","Build targeted enriched contact lists","CSV/Google Sheet with company and decision-maker details","Hourly, 30+ hrs/week","$772 total spent","11 hires, 4 active","20 to 50","Entry but platform experience required","Worldwide","3-6 months","B2B enrichment list","https://www.upwork.com/freelance-jobs/apply/B2B-Lead-Generation-Data-Enrichment-Specialist-Experience-with-Premium-Contact-Databases_~021981218666050608801/","2 months ago"
"lead generation","Lead Gen (cold calling) for AI/Tech product","Generate leads pay-per-lead via calling/email/LinkedIn","Qualified leads for AI product","Hourly / pay per lead","$5.1K total spent","13 hires, 0 active","10 to 15","Expert, tech sales must","Worldwide / US UK Australia target","1-3 months","Tech product lead generation","https://www.upwork.com/freelance-jobs/apply/Lead-Gen-cold-calling-for-Tech-product_~021961015974185943858/","yesterday"
"lead generation","Linkedin lead generation","Generate LinkedIn leads via messaging users","Lead list / outreach activity","Fixed $500","Unknown","Unknown","Unknown","Entry","Unknown","Unknown","LinkedIn lead generation","https://www.upwork.com/freelance-jobs/apply/B2B-Marketing-Expert-for-Lead-Generation-SaaS-Outreach-USA_~021890340928314411979/","11 hours ago"
"lead generation","Expert List Builder Using Zoominfo","Create targeted lead/contact lists using ZoomInfo","Targeted prospect list","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Premium database list building","https://www.upwork.com/freelance-jobs/apply/Lead-Generator-HubSpot-Database-Expert-for-Early-Learning-Centre-Expansion-Project_~021916375035845497740/","1 day ago"
